date,holiday_name,is_poya
2024-01-15,Tamil Thai Pongal Day,False
2024-01-25,Duruthu Full Moon Poya Day,True
2024-02-04,Independence Day,False
2024-02-23,Nawam Full Moon Poya Day,True
2024-03-08,Maha Sivarathri Day,False
2024-03-24,Medin Full Moon Poya Day,True
2024-03-29,Good Friday,False
2024-04-11,Eid al-Fitr,False
2024-04-12,Day Before Sinhala and Tamil New Year,False
2024-04-13,Sinhala and Tamil New Year,False
2024-04-15,Special Public Holiday,False
2024-04-23,Bak Full Moon Poya Day,True
2024-05-01,International Workers' Day,False
2024-05-23,Vesak Full Moon Poya Day,True
2024-05-24,Day Following Vesak Full Moon Poya Day,True
2024-06-17,Eid al-Adha,False
2024-06-21,Poson Full Moon Poya Day,True
2024-07-20,Esala Full Moon Poya Day,True
2024-08-19,Nikini Full Moon Poya Day,True
2024-09-16,Prophet's Birthday,False
2024-09-17,Binara Full Moon Poya Day,True
2024-09-29,Special Public Holiday,False
2024-10-17,Vap Full Moon Poya Day,True
2024-10-31,Deepavali Festival Day,False
2024-11-15,Il Full Moon Poya Day,True
2024-12-14,Unduvap Full Moon Poya Day,True
2024-12-25,Christmas Day,False
2025-01-13,Duruthu Full Moon Poya Day,True
2025-01-14,Tamil Thai Pongal Day,False
2025-02-04,Independence Day,False
2025-02-12,Nawam Full Moon Poya Day,True
2025-02-26,Maha Sivarathri Day,False
2025-03-13,Medin Full Moon Poya Day,True
2025-03-31,Eid al-Fitr,False
2025-04-12,Bak Full Moon Poya Day,True
2025-04-13,Day Before Sinhala and Tamil New Year,False
2025-04-14,Sinhala and Tamil New Year,False
2025-04-18,Good Friday,False
2025-05-01,International Workers' Day,False
2025-05-12,Vesak Full Moon Poya Day,True
2025-05-13,Day Following Vesak Full Moon Poya Day,True
2025-06-07,Eid al-Adha,False
2025-06-10,Poson Full Moon Poya Day,True
2025-07-10,Esala Full Moon Poya Day,True
2025-08-08,Nikini Full Moon Poya Day,True
2025-09-05,Prophet's Birthday,False
2025-09-07,Binara Full Moon Poya Day,True
2025-10-06,Vap Full Moon Poya Day,True
2025-10-20,Deepavali Festival Day,False
2025-11-05,Il Full Moon Poya Day,True
2025-12-04,Unduvap Full Moon Poya Day,True
2025-12-25,Christmas Day,False
2026-01-03,Duruthu Full Moon Poya Day,True
2026-01-15,Tamil Thai Pongal Day,False
2026-02-01,Nawam Full Moon Poya Day,True
2026-02-04,Independence Day,False
2026-02-15,Maha Sivarathri Day,False
2026-03-02,Medin Full Moon Poya Day,True
2026-03-21,Eid al-Fitr,False
2026-04-01,Bak Full Moon Poya Day,True
2026-04-03,Good Friday,False
2026-04-13,Day Before Sinhala and Tamil New Year,False
2026-04-14,Sinhala and Tamil New Year,False
2026-05-01,International Workers' Day; Vesak Full Moon Poya Day,True
2026-05-02,Day Following Vesak Full Moon Poya Day,True
2026-05-28,Eid al-Adha,False
2026-05-30,Adhi Poson Full Moon Poya Day,True
2026-06-29,Poson Full Moon Poya Day,True
2026-07-29,Esala Full Moon Poya Day,True
2026-08-26,Prophet's Birthday,False
2026-08-27,Nikini Full Moon Poya Day,True
2026-09-26,Binara Full Moon Poya Day,True
2026-10-25,Vap Full Moon Poya Day,True
2026-11-08,Deepavali Festival Day,False
2026-11-24,Il Full Moon Poya Day,True
2026-12-23,Unduvap Full Moon Poya Day,True
2026-12-25,Christmas Day,False
