name,type,latitude,longitude,room_rate_lkr,rating,district,province
Warwick Gardens Bungalow,Hotel,6.8976685,80.8281294,12480,4.9,Nuwara Eliya,Central
Breeta's Guest House & Restaurant,Guest House,6.9909831,80.4648369,5275,3.5,Kegalle,Sabaragamuwa
Blue Water Hotel,Hotel,6.6780122,79.9210168,17811,3.9,Kalutara,Western
Tangerine Beach Hotel,Hotel,6.6087118,79.9490434,10371,4.3,Kalutara,Western
Lady Hill,Hotel,6.0385273,80.2186845,15215,4.1,Galle,Southern
Dutch House,Hotel,6.0381348,80.2185394,16696,3.7,Galle,Southern
Sun House,Hotel,6.0378335,80.219074,14042,4.3,Galle,Southern
Kahanda Kanda,Hotel,6.0210488,80.3411254,19882,4.7,Galle,Southern
Cinnamon Lakeside Hotel,Hotel,6.9291227,79.8493786,13690,4.1,Colombo,Western
Kesbewa Rest house,Guest House,6.7927235,79.9389592,6447,3.9,Colombo,Western
Heritance Kandalama,Hotel,7.8712851,80.7077384,11667,4.8,Polonnaruwa,North Central
Aqua Pearl Lake Resort,Hotel,6.7636916,79.9096066,16864,3.8,Colombo,Western
Avani Kaluthara Resort,Hotel,6.5683248,79.9602525,17227,3.6,Kalutara,Western
St.Michelle Island Resort,Hotel,6.7774418,79.9127379,14404,3.8,Colombo,Western
Club Palm Garden Hotel,Hotel,6.4461509,79.9860322,16209,4.0,Kalutara,Western
The Grand Tourist Hooliday Resort,Hotel,7.9348232,80.7086484,15058,4.3,Polonnaruwa,North Central
Shalini Tourist Rest,Hotel,8.3316061,80.4161576,11641,3.9,Anuradhapura,North Central
Devi Tourist Home,Hotel,7.9337799,81.0031927,12070,3.9,Polonnaruwa,North Central
White Monkey - Dias Rest,Guest House,6.7640383,80.9778532,5194,4.0,Badulla,Uva
Hill Top Guesthouse,Hotel,6.8716927,81.0483633,9653,4.7,Badulla,Uva
Haus Chandra Hotel,Hotel,6.8422713,79.8630895,8829,4.0,Colombo,Western
Hilltop,Hotel,6.8445658,80.0096997,8650,4.1,Colombo,Western
Dumbulla Rest House,Hotel,7.8602453,80.6524901,8418,4.3,Polonnaruwa,North Central
New Brown`s Rest,Hotel,5.9427364,80.5553154,8865,4.4,Matara,Southern
Paradise Beach,Hotel,5.9453076,80.4576532,12303,4.4,Matara,Southern
Ramada Colombo,Hotel,6.9211657,79.8476483,18841,3.5,Colombo,Western
Berjaya Mount Royal Beach Hotel,Hotel,6.8386792,79.8635346,14721,4.2,Colombo,Western
Sea View Hotel,Hotel,6.9097418,79.8515739,11370,4.0,Colombo,Western
Ottery Tourist Inn,Hotel,6.8851576,79.8554529,8523,3.9,Colombo,Western
Concord Grand,Hotel,6.8553227,79.865709,17104,4.6,Colombo,Western
Clarion Hotel,Hotel,6.9836547,79.9328847,19223,4.8,Colombo,Western
Hill Club,Hotel,6.9709911,80.7629632,12576,4.1,Nuwara Eliya,Central
Cinnamon Lodge Habarana,Hotel,8.03492,80.7492269,13639,4.3,Polonnaruwa,North Central
Nilaveli Beach Hotel,Hotel,8.7061119,81.1883997,12428,3.9,Trincomalee,Eastern
Boulder Garden Resort,Hotel,6.5146387,80.3860367,18221,4.6,Ratnapura,Sabaragamuwa
Cinnamon Wild Yala,Hotel,6.2595788,81.4046125,12730,3.6,Hambantota,Southern
Hibiscus Beach Hotel,Hotel,6.615276,79.9468356,8031,3.8,Kalutara,Western
Laya Leisure - Kukuleganga,Hotel,6.5828622,80.2337561,9313,4.2,Ratnapura,Sabaragamuwa
Star Beach Guest House,Guest House,7.2277167,79.8398667,4466,4.7,Gampaha,Western
Sunil Garden,Guest House,6.0091,80.2446667,4916,3.7,Galle,Southern
Club Mirissa,Guest House,5.9458667,80.4573333,3848,4.9,Matara,Southern
Ella Holiday Inn,Guest House,6.8734024,81.0489141,4753,4.5,Badulla,Uva
Reny Hotel,Guest House,6.2894379,81.2926893,3852,4.4,Hambantota,Southern
Hotel Green Jewel,Guest House,6.0375667,80.80645,6288,4.0,Matara,Southern
Serenity,Guest House,6.0280522,80.7978431,6787,4.4,Matara,Southern
Starfish,Guest House,6.0355698,80.8031468,5454,4.2,Matara,Southern
Nonagama Guest Hoouse,Guest House,6.1149034,80.9952441,5686,3.6,Hambantota,Southern
Tilak,Guest House,6.0087,80.2442167,4385,4.8,Galle,Southern
Lake View Guesthouse,Guest House,5.9468833,80.4613,5655,3.8,Matara,Southern
Ocevia Rooms & Restaurant,Hotel,6.0293157,80.7977935,9443,3.8,Matara,Southern
Travellers Home,Guest House,6.2816,81.2811,6853,3.9,Hambantota,Southern
Little Dream Travellers Resort,Guest House,7.8800667,80.6910167,4565,4.5,Polonnaruwa,North Central
Villa Araliya,Guest House,6.0357395,80.8034125,3135,3.5,Matara,Southern
Mallika Guest House,Guest House,6.036541,80.8048052,3799,4.8,Matara,Southern
Ocean Moon,Guest House,5.9451,80.4595,3355,3.7,Matara,Southern
Ravindu,Guest House,6.0288833,80.7978289,3337,3.6,Matara,Southern
White Villa,Guest House,6.0127352,80.2403583,5864,4.9,Galle,Southern
Full Moon Resort,Guest House,6.0097333,80.2477,6193,4.7,Galle,Southern
Natural Cabanas,Guest House,6.037051,80.8046995,6177,4.8,Matara,Southern
Tissa Inn,Guest House,6.2877167,81.2554833,5668,4.8,Hambantota,Southern
Chandi Gaya Guesthouse,Guest House,6.0352147,80.8026276,3177,4.0,Matara,Southern
Royal Palms Beach Hotel,Hotel,6.6102109,79.9486064,11212,4.3,Kalutara,Western
River View Hotel,Hotel,6.6831012,79.918774,8983,4.8,Kalutara,Western
Navro Beach Hotel,Hotel,6.713496,79.9023228,16501,4.6,Kalutara,Western
Sri Lanka Resthouse Collective - Salthouse Weligama,Hotel,5.9672783,80.422812,13845,3.8,Matara,Southern
Hunas Falls Hotel,Hotel,7.4012673,80.6908677,9236,3.9,Matale,Central
Ashburnham Estate,Guest House,7.4293786,80.6844751,3627,3.5,Matale,Central
Earl's Regency Hotel,Hotel,7.2820316,80.6695311,10682,3.7,Kandy,Central
Nilmini Lodge,Guest House,7.9518357,80.7538541,3985,4.8,Polonnaruwa,North Central
