image_name,class_name,file_path,Display_Name,District,Province,Category,Description
AWRX7094.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\AWRX7094.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
CLIF4622.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\CLIF4622.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
CZII2757.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\CZII2757.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
DMHZ3217.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\DMHZ3217.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
EXRN5952.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\EXRN5952.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
FAMO3444.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\FAMO3444.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
FEDW3948.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\FEDW3948.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
FERA6816.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\FERA6816.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
GCXH7334.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\GCXH7334.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
HWTC3917.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\HWTC3917.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
IMG_0743.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\IMG_0743.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
IMG_0764.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\IMG_0764.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
JQWR3926.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\JQWR3926.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
JVRJ0196.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\JVRJ0196.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
KEBN1238.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\KEBN1238.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
MFOR0740.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\MFOR0740.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
NXOJ4022.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\NXOJ4022.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
OZJK8869.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\OZJK8869.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
QHMP7401.JPG,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\QHMP7401.JPG,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
RAGD1472.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\RAGD1472.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
WKMG7421.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\WKMG7421.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
WPMR5259.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\WPMR5259.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
XDQO7883.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\XDQO7883.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
YAPB5325.jpg,Adams_Peak,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adams_Peak\YAPB5325.jpg,Adam's Peak,Nuwara Eliya,Central,Mountain/Pilgrimage,"A tall, sacred mountain in the central highlands of Sri Lanka."
AQCN7920.JPG,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\AQCN7920.JPG,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
BURH3419.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\BURH3419.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
BYOD4007.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\BYOD4007.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
EFLK7365.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\EFLK7365.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
ENLP4124.JPG,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\ENLP4124.JPG,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
GETQ5075.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\GETQ5075.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
GLRG2226.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\GLRG2226.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
HUFJ3601.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\HUFJ3601.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
IAZU4476.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\IAZU4476.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
IMG_0848.JPG,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\IMG_0848.JPG,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
JSCA8334.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\JSCA8334.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
KGQC6643.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\KGQC6643.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
KHZR3235.JPG,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\KHZR3235.JPG,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
KYNU7281.jpg,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\KYNU7281.jpg,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
LPGD0724.JPG,Adisham_Monastry,C:\Users\ASUS\Documents\clipo model test one\new_dataset\Adisham_Monastry\LPGD0724.JPG,Adisham Monastery,Badulla,Uva,Historical/Architecture,A peaceful monastery housed in a beautiful stone mansion in Haputale.
