name,latitude,longitude,wikipedia_link,category,rating,entrance_fee_lkr,time_required_hours,description,district,province
Pinnawala Open Zoo,7.30056,80.3883,https://en.wikipedia.org/wiki/Pinnawala_Open_Zoo,Top Tourist Attraction,4.6,RS. 1800,08.00 am - 05.00 pm,"Pinnawala Open Zoo is a zoological garden in Pinnawala, Sri Lanka, which is situated closer to the Pinnawala Elephant Orphanage. The zoo was opened for public on 17 April 2015. This is the first open-air zoo in Sri Lanka and second zoo in Sri Lanka after Dehiwala zoo. The zoo was opened for the visitors free of charge from 17 – 30 of April 2015.",Kegalle,Sabaragamuwa
Pinnawala Elephant Orphanage,7.30055556,80.38833333,https://en.wikipedia.org/wiki/Pinnawala_Elephant_Orphanage,Top Tourist Attraction,5.1,RS. 2300,08.00 am - 05.00 pm,"Pinnawala Elephant Orphanage, is a captive breeding and conservation institute for wild Asian elephants located at Pinnawala village, 13 km (8.1 mi) northeast of Kegalle town in Sabaragamuwa Province of Sri Lanka. Pinnawala has the largest herd of captive elephants in the world. In 2023, there were 71 elephants, including 30 males and 41 females from 3 generations, living in Pinnawala.",Kegalle,Sabaragamuwa
National Zoological Gardens of Sri Lanka,6.85680556,79.87288889,https://en.wikipedia.org/wiki/National_Zoological_Gardens_of_Sri_Lanka,Top Tourist Attraction,3.6,RS. 2000,08.00 am - 05.00 pm,"National Zoological Gardens of Sri Lanka is a zoological garden in Dehiwala, Sri Lanka, founded in 1936. It is home to various birds, mammals, reptiles, fish and amphibians. The zoo not only exhibits animals from Sri Lanka, but also from across Asia and other parts of the globe.",Colombo,Western
Ridiyagama Safari Park,6.24361111,80.97944444,https://en.wikipedia.org/wiki/Ridiyagama_Safari_Park,Top Tourist Attraction,3.5,RS.1800 ,08.00 am - 05.00 pm,"Ridiyagama Safari Park is 500-acre (200 ha) safari park, zoo in Ridiyagama area of Hambantota District, Sri Lanka. The park was opened to the public on 28 May 2016.",Hambantota,Southern
Pidurutalagala,7.000833333,80.77388889,https://en.wikipedia.org/wiki/Pidurutalagala,Top Tourist Attraction,3.8,RS. 800,08.00 am - 05.00 pm,"Pidurutalagala, or previously Mount Pedro in English, is the highest mountain in Sri Lanka, at 2,524 m (8,281 ft). It is situated North-North-East from the town of Nuwara Eliya and is easily visible from most areas of the Central Province.",Nuwara Eliya,Central
National Museum of Natural History,6.911194444,79.86108333,"https://en.wikipedia.org/wiki/National_Museum_of_Natural_History,_Colombo",Top Tourist Attraction,4.9,RS. 500,08.00 am - 05.00 pm,"The National Museum of Natural History is a museum that covers the natural heritage of Sri Lanka. The museum is located closer to the National Museum of Colombo. It was established on September 23, 1986 and became only one museum in Sri Lanka that represents natural history and natural heritage.",Colombo,Western
Kurundu Oya Waterfall,7.078527778,80.84994444,https://en.wikipedia.org/wiki/Kurundu_Oya_Falls,Top Tourist Attraction,2.4,RS. 00,08.00 am - 05.00 pm,"Kurundu Oya Falls also known as Maturata Ella, is a waterfall located near the town of Walapane in the Nuwara Eliya District of Sri Lanka. The fall has a height of 189 m (620 ft), making it one of the tallest waterfalls in the country. It is the second-highest waterfall in Sri Lanka.",Nuwara Eliya,Central
Temple of the Tooth,7.293611111,80.64138889,https://en.wikipedia.org/wiki/Temple_of_the_Tooth,Top Tourist Attraction,5.2,RS. 00,08.00 am - 05.00 pm,"Sri Dalada Maligawa, commonly known in English as the Temple of the Sacred Tooth Relic, is a Buddhist temple in Kandy, Sri Lanka. It is located in the Royal Palace Complex of the former Kingdom of Kandy, which houses the relic of the tooth of the Buddha. Since ancient times, the relic has played an important role in local politics because it is believed that whoever holds the relic holds the governance of the country. The relic was historically held by Sinhalese kings. The Temple of the Tooth is a World Heritage Site mainly due to the temple and the relic.",Kandy,Central
Udawalawe National Park,6.438344444,80.88845556,https://en.wikipedia.org/wiki/Udawalawe_National_Park,Top Tourist Attraction,4.8,RS. 2300,08.00 am - 05.00 pm,"Udawalawe National Park is a national park on the boundary of Sabaragamuwa and Uva Provinces in Sri Lanka. The park was created to provide a sanctuary for wild animals displaced by the construction of the Udawalawe Reservoir on the Walawe River, as well as to protect the catchment of the reservoir. The reserve covers 30,821 hectares (119.00 mi2) of land area and was established on 30 June 1972.",Ratnapura,Sabaragamuwa
Pettah Floating Market,6.93277778,79.85555556,https://en.wikipedia.org/wiki/Pettah_Floating_Market,Top Tourist Attraction,2.3,RS. 00,08.00 am - 05.00 pm,"The Pettah Floating Markets are located on Bastian Mawatha in Pettah, a neighborhood in Colombo, Sri Lanka, and consist of 92 trade stalls, with a number of the stalls established on boats on Beira Lake. The floating market serves as a tourist attraction selling local produce and local handicraft.",Colombo,Western
